DATE;MAC;RSSI;VENDOR;CATEGORIE
9.1.2018 10:50;00:35:66:06:0D:59;-84;Unknown;Handsfree
9.1.2018 10:50;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 10:51;00:35:66:06:0D:59;-84;Unknown;Handsfree
9.1.2018 10:53;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 10:53;00:35:66:06:0D:59;-85;Unknown;Handsfree
9.1.2018 10:53;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 10:55;00:35:66:06:0D:59;-86;Unknown;Handsfree
9.1.2018 10:55;B0:E2:35:A9:91:AF;-84;Unknown;Smartphone
9.1.2018 10:56;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 10:56;38:C0:96:3B:E3:1A;-86;ALPS ELECTRIC CO.,LTD.;Handsfree
9.1.2018 10:58;00:12:1C:0D:75:B1;-78;PARROT S.A.;Handsfree
9.1.2018 10:58;00:13:B0:00:5C:EC;-63;Jablotron;Uncategorized
9.1.2018 10:58;00:26:7E:06:1B:B7;-83;Parrot SA;Handsfree
9.1.2018 10:58;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 10:58;48:9D:24:00:46:B5;-83;Research In Motion;Smartphone
9.1.2018 10:59;00:35:66:06:0D:59;-88;Unknown;Handsfree
9.1.2018 10:59;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 10:59;9C:B2:B2:95:43:8E;-88;Unknown;Smartphone
9.1.2018 10:59;00:35:66:06:0D:59;-90;Unknown;Handsfree
9.1.2018 10:59;48:9D:24:00:46:B5;-84;Research In Motion;Smartphone
9.1.2018 11:00;00:35:66:06:0D:59;-89;Unknown;Handsfree
9.1.2018 11:01;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 11:01;00:35:66:06:0D:59;-84;Unknown;Handsfree
9.1.2018 11:02;00:35:66:06:0D:59;-87;Unknown;Handsfree
9.1.2018 11:02;00:35:66:06:0D:59;-86;Unknown;Handsfree
